Entity,Code,Year,Population - Sex: all - Age: all - Variant: medium,Population - Sex: all - Age: all - Variant: medium
Afghanistan,AFG,2022,41128772,
Afghanistan,AFG,2023,42239856,
Afghanistan,AFG,2024,43372950,42647502
Afghanistan,AFG,2025,44515788,43844114
Afghanistan,AFG,2026,45667550,45047067
Afghanistan,AFG,2027,46827628,46258913
Afghanistan,AFG,2028,47990916,47470569
Afghanistan,AFG,2029,49158070,48725718
Afghanistan,AFG,2030,50330840,50039404
Afghanistan,AFG,2031,51506440,51376004
Afghanistan,AFG,2032,52685460,52707847
Afghanistan,AFG,2033,53866560,54044251
Afghanistan,AFG,2034,55046630,55359463
Afghanistan,AFG,2035,56226852,56647234
Afghanistan,AFG,2036,57410144,57953664
Afghanistan,AFG,2037,58600252,59279038
Afghanistan,AFG,2038,59792948,60597843
Afghanistan,AFG,2039,60985590,61944474
Afghanistan,AFG,2040,62180340,63347877
Afghanistan,AFG,2041,63375856,64738850
Afghanistan,AFG,2042,64572470,66060221
Afghanistan,AFG,2043,65768824,67375164
Afghanistan,AFG,2044,66964990,68703966
Afghanistan,AFG,2045,68161270,70021200
Afghanistan,AFG,2046,69355670,71384699
Afghanistan,AFG,2047,70546056,72756305
Afghanistan,AFG,2048,71729380,74109735
Afghanistan,AFG,2049,72905780,75515605
Afghanistan,AFG,2050,74075230,76885137
Afghanistan,AFG,2051,75237176,78155058
Afghanistan,AFG,2052,76389970,79457285
Afghanistan,AFG,2053,77532240,80821888
Afghanistan,AFG,2054,78663890,82196803
Afghanistan,AFG,2055,79788210,83578885
Afghanistan,AFG,2056,80899840,84980655
Afghanistan,AFG,2057,81998400,86393653
Afghanistan,AFG,2058,83084280,87773547
Afghanistan,AFG,2059,84152300,89081738
Afghanistan,AFG,2060,85205110,90362734
Afghanistan,AFG,2061,86241144,91633727
Afghanistan,AFG,2062,87254850,92931632
Afghanistan,AFG,2063,88248610,94276118
Afghanistan,AFG,2064,89228560,95639084
Afghanistan,AFG,2065,90189816,97024253
Afghanistan,AFG,2066,91131140,98338762
Afghanistan,AFG,2067,92059510,99577251
Afghanistan,AFG,2068,92972920,100850618
Afghanistan,AFG,2069,93861810,102132889
Afghanistan,AFG,2070,94723576,103416642
Afghanistan,AFG,2071,95562580,104657101
Afghanistan,AFG,2072,96383680,105836158
Afghanistan,AFG,2073,97187290,107063249
Afghanistan,AFG,2074,97970490,108265523
Afghanistan,AFG,2075,98732056,109352874
Afghanistan,AFG,2076,99473736,110399883
Afghanistan,AFG,2077,100196500,111475828
Afghanistan,AFG,2078,100896710,112514313
Afghanistan,AFG,2079,101578610,113583424
Afghanistan,AFG,2080,102242080,114673793
Afghanistan,AFG,2081,102881224,115634320
Afghanistan,AFG,2082,103500470,116516235
Afghanistan,AFG,2083,104100264,117378537
Afghanistan,AFG,2084,104677120,118292970
Afghanistan,AFG,2085,105228200,119224276
Afghanistan,AFG,2086,105752840,120043237
Afghanistan,AFG,2087,106254730,120858255
Afghanistan,AFG,2088,106734776,121694041
Afghanistan,AFG,2089,107193820,122483525
Afghanistan,AFG,2090,107630910,123304494
Afghanistan,AFG,2091,108041530,124110008
Afghanistan,AFG,2092,108430424,124854169
Afghanistan,AFG,2093,108801260,125589410
Afghanistan,AFG,2094,109153070,126306884
Afghanistan,AFG,2095,109487140,126990147
Afghanistan,AFG,2096,109802280,127647761
Afghanistan,AFG,2097,110094664,128305490
Afghanistan,AFG,2098,110366930,128964754
Afghanistan,AFG,2099,110621220,129616114
Afghanistan,AFG,2100,110854790,130216736
Africa (UN),,2022,1426736300,
Africa (UN),,2023,1460481800,
Africa (UN),,2024,1494993900,1515140855
